FIPS,Total:,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Name,State,state_name,DEMOCRAT,REPUBLICAN,TOTAL,dem_percent,rep_percent,dem_lead,dem_percent_lead
01001,58805,55648,42160,11445,217,881,35,910,3157,2979,534,1007,342,29,848,49,54,20,56,10,0,8,3,14,5,168,62,9,0,15,15,3,32,13,5,0,8,0,6,0,0,0,0,0,0,0,8,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Autauga,AL,Alabama,7503.0,19838.0,27770.0,27.018365142239826,71.4368023046453,730462.0,-44.41843716240547
01003,231767,216743,189399,18217,1582,2067,143,5335,15024,14386,1955,4793,1107,97,5986,119,78,8,167,7,3,24,23,19,0,600,210,48,8,65,42,17,126,48,30,0,0,0,0,1,3,0,0,0,0,2,38,18,1,14,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Baldwin,AL,Alabama,24578.0,83544.0,109679.0,22.409029987509005,76.17137282433282,2374256.0,-53.76234283682382
01005,25223,24523,11317,11933,116,117,1,1039,700,662,228,185,20,0,151,27,0,6,38,3,0,0,3,1,0,28,13,1,0,5,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,Barbour,AL,Alabama,4816.0,5622.0,10518.0,45.78817265639856,53.45122646891044,475978.0,-7.663053812511883
01007,22293,21534,16555,4413,60,32,9,465,759,700,166,303,10,0,189,16,4,1,0,0,0,6,4,0,1,49,18,0,1,8,1,0,10,0,4,0,0,0,7,0,0,0,0,0,0,0,10,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bibb,AL,Alabama,1986.0,7525.0,9595.0,20.698280354351226,78.42626367899948,191075.0,-57.72798332464825
01009,59134,55478,50663,845,337,178,24,3431,3656,3524,316,1337,131,30,1644,3,3,0,20,4,0,29,0,2,5,109,28,4,1,8,17,4,44,0,1,1,1,0,0,0,0,0,0,0,0,0,22,14,0,5,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Blount,AL,Alabama,2640.0,24711.0,27588.0,9.569377990430622,89.57155284906482,239289.0,-80.00217485863419
01011,10357,10109,2320,7396,72,9,10,302,248,222,49,32,1,0,105,6,11,3,5,2,0,4,0,3,1,21,9,0,2,1,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bullock,AL,Alabama,3446.0,1146.0,4613.0,74.70192933015392,24.842835464990245,343454.0,49.85909386516367
01013,19051,18464,9752,8430,29,143,5,105,587,547,223,138,27,1,91,31,3,0,23,2,3,0,3,0,2,37,11,5,4,3,0,1,0,4,0,0,4,0,0,4,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Butler,AL,Alabama,3965.0,5458.0,9488.0,41.78962900505902,57.525295109612145,391042.0,-15.735666104553125
01015,116441,110412,80586,25559,487,1190,119,2471,6029,5732,1290,1940,393,50,1639,131,47,22,160,0,0,36,12,7,5,265,120,33,0,43,17,0,20,11,3,2,5,0,1,3,4,2,0,0,0,1,28,10,0,5,4,2,0,2,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,Calhoun,AL,Alabama,15216.0,35101.0,50983.0,29.845242531824333,68.84843967597043,1486499.0,-39.00319714414609
01017,34772,33562,18850,13512,106,401,13,680,1210,1127,334,293,48,1,349,60,1,0,29,2,5,1,4,0,0,66,27,14,8,5,6,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,17,2,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chambers,AL,Alabama,6365.0,8753.0,15284.0,41.644857367181366,57.26903951845067,627747.0,-15.624182151269302
01019,24971,24051,22707,987,109,56,1,191,920,888,179,457,21,9,176,11,0,3,15,1,1,2,6,7,0,25,10,2,5,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cherokee,AL,Alabama,1624.0,10583.0,12301.0,13.202178684659783,86.03365580034144,151817.0,-72.83147711568165
