state,DEMOCRAT,REPUBLICAN,TOTAL,dem_percent,rep_percent,dem_lead,dem_percentage_pts_lead
ALABAMA,849624,1441170,2323282,36.569990212122335,62.031643166864804,-591546,-25.46165295474247
ALASKA,153778,189951,359530,42.771952271020496,52.83314327038077,-36173,-10.061190999360278
ARIZONA,1672143,1661686,3387326,49.364690614366616,49.055981030464736,10457,0.3087095839018801
ARKANSAS,423932,760647,1219069,34.77506195301496,62.39572985614432,-336715,-27.62066790312936
CALIFORNIA,11110250,6006429,17500881,63.483946893873515,34.32072362528492,5103821,29.163223268588595
COLORADO,1804352,1364607,3279980,55.011067140653296,41.60412563491241,439745,13.406941505740889
CONNECTICUT,1080831,714717,1823857,59.260731515683524,39.187118288330716,366114,20.07361322735281
DELAWARE,296268,200603,504346,58.743005793641665,39.77487677110555,95665,18.96812902253611
DISTRICT OF COLUMBIA,317323,18586,344356,92.14969392140692,5.397321376714795,298737,86.75237254469212
FLORIDA,5297045,5668731,11067456,47.86145072544223,51.21981962250403,-371686,-3.3583688970618013
GEORGIA,2473633,2461854,4999960,49.473055784446274,49.2374738997912,11779,0.23558188465507612
HAWAII,366130,196864,579784,63.14937976901743,33.954714169414814,169266,29.194665599602615
IDAHO,287021,554119,868014,33.06640215480395,63.837564831903634,-267098,-30.77116267709968
ILLINOIS,3471915,2446891,6033743,57.5416453766758,40.55345081817373,1025024,16.988194558502073
INDIANA,1242416,1729519,3033118,40.96167705971215,57.02115776570513,-487103,-16.059480705992975
IOWA,759061,897672,1700130,44.64723285866375,52.80019763194579,-138611,-8.152964773282044
KANSAS,570323,771406,1372303,41.55955353883217,56.212512834264736,-201083,-14.652959295432566
KENTUCKY,772474,1326646,2136768,36.151514811154044,62.086571869290445,-554172,-25.9350570581364
LOUISIANA,856034,1255776,2148062,39.85145680152621,58.46088241400854,-399742,-18.609425612482326
MAINE,435072,360737,828305,52.52557934577239,43.551228110418265,74335,8.974351235354128
MARYLAND,1985023,976414,3037030,65.36066486007711,32.15029156774875,1008609,33.210373292328356
MASSACHUSETTS,2382202,1167202,3658005,65.12298370286535,31.90815758863096,1215000,33.2148261142344
MICHIGAN,2804040,2649852,5539302,50.62081829082437,47.83729069113762,154188,2.7835275996867495
MINNESOTA,1717077,1484065,3277171,52.39509930974002,45.284942409169375,233012,7.110156900570644
MISSISSIPPI,539398,756764,1313759,41.05760645597861,57.60295457538255,-217366,-16.54534811940394
MISSOURI,1253014,1718736,3025962,41.40878173618836,56.79965577888949,-465722,-15.390874042701128
MONTANA,244786,343602,603674,40.54936936160908,56.91846924002028,-98816,-16.3690998784112
NEBRASKA,374583,556846,956383,39.166630941787965,58.22416333205421,-182263,-19.057532390266246
NEVADA,703486,669890,1405376,50.05678195728403,47.66624732455941,33596,2.3905346327246235
NEW HAMPSHIRE,424921,365654,806182,52.70782528014766,45.3562595046776,59267,7.351565775470057
NEW JERSEY,2608335,1883274,4549353,57.334196752812986,41.396523857348505,725061,15.93767289546448
NEW MEXICO,501614,401894,923965,54.289285849572224,43.49666924612945,99720,10.792616603442774
NEW YORK,5230985,3244798,8661735,60.39188453583491,37.46129384009093,1986187,22.93059069574398
NORTH CAROLINA,2684292,2758773,5524802,48.586211777363246,49.93433248829551,-74481,-1.348120710932264
NORTH DAKOTA,114902,235595,361819,31.756762359080092,65.11404873707572,-120693,-33.35728637799563
OHIO,2679165,3154834,5922202,45.239338340705025,53.27130010087464,-475669,-8.031961760169615
OKLAHOMA,503890,1020280,1560699,32.28617433598663,65.37327184806296,-516390,-33.087097512076326
OREGON,1340383,958448,2374321,56.453318654048886,40.367246046343354,381935,16.086072607705532
PENNSYLVANIA,3458229,3377674,6915283,50.00849567544813,48.843612040172474,80555,1.1648836352756575
RHODE ISLAND,307486,199922,516990,59.476198765933574,38.670380471575854,107564,20.80581829435772
SOUTH CAROLINA,1091541,1385103,2514096,43.41683849781393,55.09348091719648,-293562,-11.676642419382553
SOUTH DAKOTA,150471,261043,422609,35.60525213613529,61.769389672250234,-110572,-26.164137536114943
TENNESSEE,1143711,1852475,3053851,37.4514342710237,60.66029416628382,-708764,-23.20885989526012
TEXAS,5259126,5890347,11315056,46.47900991387051,52.05760360355265,-631221,-5.578593689682137
UTAH,560282,865140,1488289,37.64604858330606,58.129839029919594,-304858,-20.483790446613533
VERMONT,242820,112704,370968,65.45578055250049,30.38105712622113,130116,35.074723426279355
VIRGINIA,2413568,1962430,4460524,54.10951717780243,43.99550366728214,451138,10.114013510520294
WASHINGTON,2369612,1584651,4087631,57.97030113530307,38.76697774334327,784961,19.2033233919598
WEST VIRGINIA,235984,545382,794652,29.696521244519612,68.63155192461606,-309398,-38.935030680096446
WISCONSIN,1630866,1610184,3298041,49.44953686142774,48.822437319608824,20682,0.6270995418189145
WYOMING,73491,193559,278503,26.3878665579904,69.49978994840271,-120068,-43.11192339041231
